id,agent,unit,group
24113,agent,unit,4
24114,agent,unit,3
24115,agent,unit,3
24116,agent,unit,1
24117,agent,unit,3
24118,agent,unit,3
24119,agent,unit,4
24120,agent,unit,3
24121,agent,unit,3
24122,agent,unit,3
24123,agent,unit,3
24124,agent,unit,3
24125,agent,unit,4
24126,agent,unit,1
24127,agent,unit,1
24128,agent,unit,1
24129,agent,unit,1
24130,agent,unit,1
24131,agent,unit,3
24132,agent,unit,3
24133,agent,unit,1
24134,agent,unit,1
24135,agent,unit,3
11817,agent,unit,4
11821,agent,unit,1
11807,agent,unit,4
11746,agent,unit,3
11819,agent,unit,3
11818,agent,unit,3
11747,agent,unit,4
11745,agent,unit,1
24143,agent,unit,5
11814,agent,unit,3
24141,agent,unit,3
24142,agent,unit,1
11820,agent,unit,3
11751,agent,unit,3
24146,agent,unit,3
24147,agent,unit,4
24148,agent,unit,3
24149,agent,unit,4
24150,agent,unit,1
24151,agent,unit,3
24152,agent,unit,1
24153,agent,unit,3
24154,agent,unit,2
24155,agent,unit,1
24156,agent,unit,4
24157,agent,unit,1
24158,agent,unit,2
24159,agent,unit,2
24160,agent,unit,4
24161,agent,unit,3
24162,agent,unit,4
24163,agent,unit,3
24164,agent,unit,4
24165,agent,unit,1
24166,agent,unit,3
24167,agent,unit,3
24168,agent,unit,3
24169,agent,unit,2
24170,agent,unit,4
24171,agent,unit,4
24172,agent,unit,3
24173,agent,unit,3
24174,agent,unit,3
24175,agent,unit,1
24176,agent,unit,4
24177,agent,unit,5
24178,agent,unit,5
24179,agent,unit,3
24180,agent,unit,3
24181,agent,unit,3
11809,agent,unit,3
11813,agent,unit,3
26,agent,unit,3
42,agent,unit,3
11815,agent,unit,3
24183,agent,unit,3
11744,agent,unit,3
11816,agent,unit,3
20,agent,unit,3
24185,agent,unit,3
11757,agent,unit,1
11808,agent,unit,3
11758,agent,unit,3
31,agent,unit,3
28,agent,unit,3
23,agent,unit,3
24191,agent,unit,3
24192,agent,unit,3
24193,agent,unit,3
24194,agent,unit,4
24195,agent,unit,3
24198,agent,unit,4
24199,agent,unit,3
24200,agent,unit,2
24201,agent,unit,3
24202,agent,unit,2
24203,agent,unit,4
24204,agent,unit,3
24205,agent,unit,1
29,agent,unit,3
24207,agent,unit,3
24208,agent,unit,3
24209,agent,unit,3
24210,agent,unit,3
24211,agent,unit,4
24212,agent,unit,2
24213,agent,unit,1
24214,agent,unit,2
24215,agent,unit,4
24216,agent,unit,2
24217,agent,unit,6
24218,agent,unit,4
24219,agent,unit,3
24220,agent,unit,4
24221,agent,unit,2
24222,agent,unit,4
24223,agent,unit,3
24224,agent,unit,4
24225,agent,unit,3
24226,agent,unit,3
24227,agent,unit,4
24228,agent,unit,4
24229,agent,unit,3
24230,agent,unit,4
24231,agent,unit,2
24232,agent,unit,4
24234,agent,unit,2
11755,agent,unit,4
11753,agent,unit,3
24236,agent,unit,4
11812,agent,unit,3
11756,agent,unit,3
11754,agent,unit,4
11759,agent,unit,2
11810,agent,unit,2
11760,agent,unit,4
24240,agent,unit,3
41,agent,unit,1
11826,agent,unit,2
36,agent,unit,3
37,agent,unit,3
11811,agent,unit,3
24244,agent,unit,3
24245,agent,unit,4
24246,agent,unit,1
24247,agent,unit,4
11655,agent,unit,4
11671,agent,unit,3
24248,agent,unit,3
24249,agent,unit,3
24251,agent,unit,3
24253,agent,unit,3
24254,agent,unit,2
24255,agent,unit,3
24256,agent,unit,4
24257,agent,unit,4
24258,agent,unit,4
24259,agent,unit,3
24260,agent,unit,4
24261,agent,unit,3
24262,agent,unit,3
24263,agent,unit,3
24264,agent,unit,3
24265,agent,unit,3
24266,agent,unit,3
24267,agent,unit,3
24268,agent,unit,3
24269,agent,unit,3
24270,agent,unit,3
24271,agent,unit,3
24272,agent,unit,4
24273,agent,unit,2
24274,agent,unit,3
24275,agent,unit,4
24276,agent,unit,3
24277,agent,unit,3
24278,agent,unit,1
24279,agent,unit,4
24280,agent,unit,4
24281,agent,unit,5
24282,agent,unit,3
24283,agent,unit,1
